"URL","Subject","Predicate","Object","Errors","Warnings","Validation Type 1","Severity 1","Issue 1"
"https://totalleakdetection.com/","subject0","JSON-LD","subject1","0","0","","",""
"https://totalleakdetection.com/","subject0","JSON-LD","subject12","0","0","","",""
"https://totalleakdetection.com/","subject1","http://schema.org/identifier","https://totalleakdetection.com/#faq","0","0","","",""
"https://totalleakdetection.com/","subject1","http://schema.org/mainEntity","subject10","0","0","","",""
"https://totalleakdetection.com/","subject1","http://schema.org/mainEntity","subject2","0","0","","",""
"https://totalleakdetection.com/","subject1","http://schema.org/mainEntity","subject4","0","0","","",""
"https://totalleakdetection.com/","subject1","http://schema.org/mainEntity","subject6","0","0","","",""
"https://totalleakdetection.com/","subject1","http://schema.org/mainEntity","subject8","0","0","","",""
"https://totalleakdetection.com/","subject1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/FAQPage","0","0","","",""
"https://totalleakdetection.com/","subject2","http://schema.org/acceptedAnswer","subject3","0","0","","",""
"https://totalleakdetection.com/","subject2","http://schema.org/name","How do I know if I have a water leak?","0","0","","",""
"https://totalleakdetection.com/","subject2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Question","0","0","","",""
"https://totalleakdetection.com/","subject3","http://schema.org/text","Signs include unexpectedly high water bills, the sound of running water when nothing is on, wet spots on floors or walls, and musty odors. If you notice any of these, it's worth getting a professional inspection.","0","0","","",""
"https://totalleakdetection.com/","subject3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Answer","0","0","","",""
"https://totalleakdetection.com/","subject4","http://schema.org/acceptedAnswer","subject5","0","0","","",""
"https://totalleakdetection.com/","subject4","http://schema.org/name","How much does leak detection cost in Miami?","0","0","","",""
"https://totalleakdetection.com/","subject4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Question","0","0","","",""
"https://totalleakdetection.com/","subject5","http://schema.org/text","Most leak detection services in Miami range from $150-$400 depending on accessibility and complexity. We offer a $49 evaluation to help identify if you have a leak before committing to full detection.","0","0","","",""
"https://totalleakdetection.com/","subject5","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Answer","0","0","","",""
"https://totalleakdetection.com/","subject6","http://schema.org/acceptedAnswer","subject7","0","0","","",""
"https://totalleakdetection.com/","subject6","http://schema.org/name","Can you find leaks without breaking walls or floors?","0","0","","",""
"https://totalleakdetection.com/","subject6","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Question","0","0","","",""
"https://totalleakdetection.com/","subject7","http://schema.org/text","Yes. We use non-invasive methods including acoustic listening devices, thermal imaging, and pressure testing to locate leaks precisely before any cutting is needed.","0","0","","",""
"https://totalleakdetection.com/","subject7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Answer","0","0","","",""
"https://totalleakdetection.com/","subject8","http://schema.org/acceptedAnswer","subject9","0","0","","",""
"https://totalleakdetection.com/","subject8","http://schema.org/name","How long does leak detection take?","0","0","","",""
"https://totalleakdetection.com/","subject8","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Question","0","0","","",""
"https://totalleakdetection.com/","subject9","http://schema.org/text","A typical residential leak detection takes 1-3 hours. We'll give you findings on-site and a detailed written report within 48 hours.","0","0","","",""
"https://totalleakdetection.com/","subject9","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Answer","0","0","","",""
"https://totalleakdetection.com/","subject10","http://schema.org/acceptedAnswer","subject11","0","0","","",""
"https://totalleakdetection.com/","subject10","http://schema.org/name","Do you service areas outside Miami?","0","0","","",""
"https://totalleakdetection.com/","subject10","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Question","0","0","","",""
"https://totalleakdetection.com/","subject11","http://schema.org/text","We serve all of Miami-Dade, Broward, and Palm Beach counties including Doral, Kendall, Coral Gables, Fort Lauderdale, and surrounding areas.","0","0","","",""
"https://totalleakdetection.com/","subject11","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Answer","0","0","","",""
"https://totalleakdetection.com/","subject12","http://schema.org/description","Professional water leak detection services in Miami FL. Non-invasive leak detection for residential and commercial properties.","0","0","","",""
"https://totalleakdetection.com/","subject12","http://schema.org/identifier","https://totalleakdetection.com/#webpage","0","0","","",""
"https://totalleakdetection.com/","subject12","http://schema.org/isPartOf","subject13","0","0","","",""
"https://totalleakdetection.com/","subject12","http://schema.org/name","Leak Detection Miami | Water Leak Detection Services","0","0","","",""
"https://totalleakdetection.com/","subject12","http://schema.org/url","https://totalleakdetection.com/","0","0","","",""
"https://totalleakdetection.com/","subject12","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/WebPage","0","0","","",""
"https://totalleakdetection.com/","subject13","http://schema.org/description","Get water leak detection in Florida. Get plumbing & water meter repair services. Plumbing reports in 2 days. Licensed & insured. Get a free estimate today!","0","0","","",""
"https://totalleakdetection.com/","subject13","http://schema.org/identifier","https://totalleakdetection.com/#website","0","0","","",""
"https://totalleakdetection.com/","subject13","http://schema.org/inLanguage","en-US","0","0","","",""
"https://totalleakdetection.com/","subject13","http://schema.org/name","Total Leak Detection","0","0","","",""
"https://totalleakdetection.com/","subject13","http://schema.org/potentialAction","subject14","0","0","","",""
"https://totalleakdetection.com/","subject13","http://schema.org/publisher","subject16","0","1","Google Local Business Listing","Warning","'http://schema.org/geo' property is recommended for 'Plumber'"
"https://totalleakdetection.com/","subject13","http://schema.org/url","https://totalleakdetection.com/","0","0","","",""
"https://totalleakdetection.com/","subject13","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/WebSite","0","0","","",""
"https://totalleakdetection.com/","subject14","http://schema.org/query-input","required name=search_term_string","0","0","","",""
"https://totalleakdetection.com/","subject14","http://schema.org/target","subject15","0","0","","",""
"https://totalleakdetection.com/","subject14","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/SearchAction","0","0","","",""
"https://totalleakdetection.com/","subject15","http://schema.org/urlTemplate","https://totalleakdetection.com/blog/?q={search_term_string}","0","0","","",""
"https://totalleakdetection.com/","subject15","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/EntryPoint","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/address","subject17","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/aggregateRating","subject18","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/areaServed","subject19","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/currenciesAccepted","USD","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/description","Get water leak detection in Florida. Get plumbing & water meter repair services. Plumbing reports in 2 days. Licensed & insured. Get a free estimate today!","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/email","info@totalleakdetection.com","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/foundingDate","2019","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/hasOfferCatalog","subject21","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/identifier","https://totalleakdetection.com#plumber","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/image","https://totalleakdetection.com/images/logo.png","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/knowsAbout","Commercial Plumbing","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/knowsAbout","Hydro Jetting","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/knowsAbout","Mold Testing","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/knowsAbout","Pipe Leak Repair","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/knowsAbout","Plumbing Report Writing","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/knowsAbout","Residential Plumbing","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/knowsAbout","Sewer Camera Inspection","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/knowsAbout","Slab Leak Detection","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/knowsAbout","Water Leak Detection","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/name","Total Leak Detection","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/openingHoursSpecification","subject28","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/paymentAccepted","Cash","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/paymentAccepted","Check","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/paymentAccepted","Credit Card","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/paymentAccepted","Debit Card","0","0","","",""
"https://totalleakdetection.com/","subject16","http://schema.org/paymentAccepted","Insurance","0","0","","",""
